Tempo,Na,Cl,NaCl
0.016666666666666666,55.0,45.0,0.0
0.03333333333333333,55.0,45.0,0.0
0.05,55.0,45.0,0.0
0.06666666666666667,54.0,44.0,1.0
0.08333333333333333,54.0,44.0,1.0
0.09999999999999999,54.0,44.0,1.0
0.11666666666666665,54.0,44.0,1.0
0.13333333333333333,54.0,44.0,1.0
0.15,54.0,44.0,1.0
0.16666666666666666,53.0,43.0,2.0
0.18333333333333332,53.0,43.0,2.0
0.19999999999999998,53.0,43.0,2.0
0.21666666666666665,53.0,43.0,2.0
0.2333333333333333,53.0,43.0,2.0
0.24999999999999997,53.0,43.0,2.0
0.26666666666666666,53.0,43.0,2.0
0.2833333333333333,53.0,43.0,2.0
0.3,53.0,43.0,2.0
0.31666666666666665,53.0,43.0,2.0
0.3333333333333333,53.0,43.0,2.0
0.35,52.0,42.0,3.0
0.36666666666666664,52.0,42.0,3.0
0.3833333333333333,52.0,42.0,3.0
0.39999999999999997,52.0,42.0,3.0
0.41666666666666663,51.0,41.0,4.0
0.4333333333333333,50.0,40.0,5.0
0.44999999999999996,50.0,40.0,5.0
0.4666666666666666,50.0,40.0,5.0
0.4833333333333333,50.0,40.0,5.0
0.49999999999999994,50.0,40.0,5.0
0.5166666666666666,50.0,40.0,5.0
0.5333333333333333,49.0,39.0,6.0
0.55,48.0,38.0,7.0
0.5666666666666668,47.0,37.0,8.0
0.5833333333333335,47.0,37.0,8.0
0.6000000000000002,47.0,37.0,8.0
0.6166666666666669,47.0,37.0,8.0
0.6333333333333336,47.0,37.0,8.0
0.6500000000000004,47.0,37.0,8.0
0.6666666666666671,47.0,37.0,8.0
0.6833333333333338,47.0,37.0,8.0
0.7000000000000005,47.0,37.0,8.0
0.7166666666666672,47.0,37.0,8.0
0.733333333333334,47.0,37.0,8.0
0.7500000000000007,47.0,37.0,8.0
0.7666666666666674,46.0,36.0,9.0
0.7833333333333341,46.0,36.0,9.0
0.8000000000000008,46.0,36.0,9.0
0.8166666666666675,46.0,36.0,9.0
0.8333333333333343,46.0,36.0,9.0
0.850000000000001,46.0,36.0,9.0
0.8666666666666677,46.0,36.0,9.0
0.8833333333333344,46.0,36.0,9.0
0.9000000000000011,46.0,36.0,9.0
0.9166666666666679,46.0,36.0,9.0
0.9333333333333346,46.0,36.0,9.0
0.9500000000000013,46.0,36.0,9.0
0.966666666666668,46.0,36.0,9.0
0.9833333333333347,46.0,36.0,9.0
1.0000000000000013,46.0,36.0,9.0
1.016666666666668,46.0,36.0,9.0
1.0333333333333345,46.0,36.0,9.0
1.0500000000000012,46.0,36.0,9.0
1.0666666666666678,46.0,36.0,9.0
1.0833333333333344,46.0,36.0,9.0
1.100000000000001,46.0,36.0,9.0
1.1166666666666676,46.0,36.0,9.0
1.1333333333333342,46.0,36.0,9.0
1.1500000000000008,46.0,36.0,9.0
1.1666666666666674,46.0,36.0,9.0
1.183333333333334,46.0,36.0,9.0
1.2000000000000006,46.0,36.0,9.0
1.2166666666666672,45.0,35.0,10.0
1.2333333333333338,45.0,35.0,10.0
1.2500000000000004,45.0,35.0,10.0
1.266666666666667,45.0,35.0,10.0
1.2833333333333337,45.0,35.0,10.0
1.3000000000000003,45.0,35.0,10.0
1.3166666666666669,45.0,35.0,10.0
1.3333333333333335,45.0,35.0,10.0
1.35,45.0,35.0,10.0
1.3666666666666667,45.0,35.0,10.0
1.3833333333333333,45.0,35.0,10.0
1.4,45.0,35.0,10.0
1.4166666666666665,45.0,35.0,10.0
1.4333333333333331,45.0,35.0,10.0
1.4499999999999997,45.0,35.0,10.0
1.4666666666666663,45.0,35.0,10.0
1.483333333333333,45.0,35.0,10.0
1.4999999999999996,45.0,35.0,10.0
1.5166666666666662,45.0,35.0,10.0
1.5333333333333328,45.0,35.0,10.0
1.5499999999999994,45.0,35.0,10.0
1.566666666666666,45.0,35.0,10.0
1.5833333333333326,45.0,35.0,10.0
1.5999999999999992,45.0,35.0,10.0
1.6166666666666658,45.0,35.0,10.0
1.6333333333333324,45.0,35.0,10.0
1.649999999999999,45.0,35.0,10.0
1.6666666666666656,45.0,35.0,10.0
1.6833333333333322,45.0,35.0,10.0
1.6999999999999988,45.0,35.0,10.0
1.7166666666666655,45.0,35.0,10.0
1.733333333333332,45.0,35.0,10.0
1.7499999999999987,45.0,35.0,10.0
1.7666666666666653,44.0,34.0,11.0
1.7833333333333319,44.0,34.0,11.0
1.7999999999999985,44.0,34.0,11.0
1.816666666666665,44.0,34.0,11.0
1.8333333333333317,44.0,34.0,11.0
