Tempo,Cl,Na,NaCl
0.0,23.0,37.0,0.0
0.016666666666666666,23.0,37.0,0.0
0.03333333333333333,23.0,37.0,0.0
0.05,23.0,37.0,0.0
0.06666666666666667,23.0,37.0,0.0
0.08333333333333333,23.0,37.0,0.0
0.09999999999999999,22.0,36.0,1.0
0.11666666666666665,22.0,36.0,1.0
0.13333333333333333,22.0,36.0,1.0
0.15,22.0,36.0,1.0
0.16666666666666666,22.0,36.0,1.0
0.18333333333333332,22.0,36.0,1.0
0.19999999999999998,22.0,36.0,1.0
0.21666666666666665,22.0,36.0,1.0
0.2333333333333333,22.0,36.0,1.0
0.24999999999999997,22.0,36.0,1.0
0.26666666666666666,22.0,36.0,1.0
0.2833333333333333,22.0,36.0,1.0
0.3,22.0,36.0,1.0
0.31666666666666665,22.0,36.0,1.0
0.3333333333333333,22.0,36.0,1.0
0.35,22.0,36.0,1.0
0.36666666666666664,22.0,36.0,1.0
0.3833333333333333,22.0,36.0,1.0
0.39999999999999997,22.0,36.0,1.0
0.41666666666666663,22.0,36.0,1.0
0.4333333333333333,22.0,36.0,1.0
0.44999999999999996,22.0,36.0,1.0
0.4666666666666666,22.0,36.0,1.0
0.4833333333333333,22.0,36.0,1.0
0.49999999999999994,22.0,36.0,1.0
0.5166666666666666,22.0,36.0,1.0
0.5333333333333333,22.0,36.0,1.0
0.55,21.0,35.0,2.0
0.5666666666666668,21.0,35.0,2.0
0.5833333333333335,21.0,35.0,2.0
0.6000000000000002,21.0,35.0,2.0
0.6166666666666669,21.0,35.0,2.0
0.6333333333333336,21.0,35.0,2.0
0.6500000000000004,21.0,35.0,2.0
0.6666666666666671,21.0,35.0,2.0
0.6833333333333338,21.0,35.0,2.0
0.7000000000000005,21.0,35.0,2.0
0.7166666666666672,21.0,35.0,2.0
0.733333333333334,21.0,35.0,2.0
0.7500000000000007,21.0,35.0,2.0
0.7666666666666674,21.0,35.0,2.0
0.7833333333333341,21.0,35.0,2.0
0.8000000000000008,21.0,35.0,2.0
0.8166666666666675,21.0,35.0,2.0
0.8333333333333343,21.0,35.0,2.0
0.850000000000001,21.0,35.0,2.0
0.8666666666666677,21.0,35.0,2.0
0.8833333333333344,21.0,35.0,2.0
0.9000000000000011,21.0,35.0,2.0
0.9166666666666679,21.0,35.0,2.0
0.9333333333333346,21.0,35.0,2.0
0.9500000000000013,21.0,35.0,2.0
0.966666666666668,21.0,35.0,2.0
0.9833333333333347,21.0,35.0,2.0
1.0000000000000013,21.0,35.0,2.0
1.016666666666668,21.0,35.0,2.0
1.0333333333333345,21.0,35.0,2.0
1.0500000000000012,21.0,35.0,2.0
1.0666666666666678,21.0,35.0,2.0
1.0833333333333344,21.0,35.0,2.0
1.100000000000001,21.0,35.0,2.0
1.1166666666666676,21.0,35.0,2.0
1.1333333333333342,21.0,35.0,2.0
1.1500000000000008,21.0,35.0,2.0
1.1666666666666674,21.0,35.0,2.0
1.183333333333334,21.0,35.0,2.0
1.2000000000000006,21.0,35.0,2.0
1.2166666666666672,21.0,35.0,2.0
1.2333333333333338,21.0,35.0,2.0
1.2500000000000004,21.0,35.0,2.0
1.266666666666667,21.0,35.0,2.0
1.2833333333333337,21.0,35.0,2.0
1.3000000000000003,21.0,35.0,2.0
1.3166666666666669,21.0,35.0,2.0
1.3333333333333335,21.0,35.0,2.0
1.35,21.0,35.0,2.0
1.3666666666666667,21.0,35.0,2.0
1.3833333333333333,21.0,35.0,2.0
1.4,21.0,35.0,2.0
1.4166666666666665,21.0,35.0,2.0
1.4333333333333331,21.0,35.0,2.0
1.4499999999999997,21.0,35.0,2.0
1.4666666666666663,21.0,35.0,2.0
1.483333333333333,21.0,35.0,2.0
1.4999999999999996,21.0,35.0,2.0
1.5166666666666662,21.0,35.0,2.0
1.5333333333333328,21.0,35.0,2.0
1.5499999999999994,21.0,35.0,2.0
1.566666666666666,21.0,35.0,2.0
1.5833333333333326,21.0,35.0,2.0
1.5999999999999992,20.0,34.0,3.0
1.6166666666666658,19.0,33.0,4.0
1.6333333333333324,19.0,33.0,4.0
1.649999999999999,19.0,33.0,4.0
1.6666666666666656,19.0,33.0,4.0
1.6833333333333322,19.0,33.0,4.0
1.6999999999999988,19.0,33.0,4.0
1.7166666666666655,19.0,33.0,4.0
1.733333333333332,19.0,33.0,4.0
1.7499999999999987,19.0,33.0,4.0
1.7666666666666653,19.0,33.0,4.0
1.7833333333333319,19.0,33.0,4.0
1.7999999999999985,19.0,33.0,4.0
1.816666666666665,19.0,33.0,4.0
1.8333333333333317,19.0,33.0,4.0
1.8499999999999983,19.0,33.0,4.0
1.866666666666665,19.0,33.0,4.0
1.8833333333333315,19.0,33.0,4.0
1.8999999999999981,19.0,33.0,4.0
1.9166666666666647,19.0,33.0,4.0
1.9333333333333313,19.0,33.0,4.0
1.949999999999998,19.0,33.0,4.0
1.9666666666666646,19.0,33.0,4.0
1.9833333333333312,19.0,33.0,4.0
1.9999999999999978,19.0,33.0,4.0
2.0166666666666644,19.0,33.0,4.0
2.033333333333331,19.0,33.0,4.0
2.0499999999999976,19.0,33.0,4.0
2.066666666666664,19.0,33.0,4.0
2.083333333333331,19.0,33.0,4.0
2.0999999999999974,19.0,33.0,4.0
2.116666666666664,19.0,33.0,4.0
2.1333333333333306,19.0,33.0,4.0
2.1499999999999972,19.0,33.0,4.0
2.166666666666664,19.0,33.0,4.0
2.1833333333333305,19.0,33.0,4.0
2.199999999999997,19.0,33.0,4.0
2.2166666666666637,19.0,33.0,4.0
2.2333333333333303,19.0,33.0,4.0
2.249999999999997,19.0,33.0,4.0
2.2666666666666635,18.0,32.0,5.0
2.28333333333333,18.0,32.0,5.0
2.2999999999999967,17.0,31.0,6.0
2.3166666666666633,17.0,31.0,6.0
2.33333333333333,17.0,31.0,6.0
2.3499999999999965,17.0,31.0,6.0
2.366666666666663,17.0,31.0,6.0
2.3833333333333298,17.0,31.0,6.0
2.3999999999999964,17.0,31.0,6.0
2.416666666666663,17.0,31.0,6.0
2.4333333333333296,16.0,30.0,7.0
2.449999999999996,16.0,30.0,7.0
2.466666666666663,16.0,30.0,7.0
2.4833333333333294,16.0,30.0,7.0
2.499999999999996,16.0,30.0,7.0
2.5166666666666626,16.0,30.0,7.0
2.533333333333329,16.0,30.0,7.0
2.549999999999996,16.0,30.0,7.0
2.5666666666666624,16.0,30.0,7.0
2.583333333333329,16.0,30.0,7.0
2.5999999999999956,16.0,30.0,7.0
2.6166666666666623,16.0,30.0,7.0
2.633333333333329,16.0,30.0,7.0
2.6499999999999955,16.0,30.0,7.0
2.666666666666662,16.0,30.0,7.0
2.6833333333333287,16.0,30.0,7.0
2.6999999999999953,16.0,30.0,7.0
2.716666666666662,16.0,30.0,7.0
2.7333333333333285,16.0,30.0,7.0
2.749999999999995,16.0,30.0,7.0
2.7666666666666617,16.0,30.0,7.0
2.7833333333333283,15.0,29.0,8.0
2.799999999999995,15.0,29.0,8.0
2.8166666666666615,15.0,29.0,8.0
2.833333333333328,15.0,29.0,8.0
2.8499999999999948,15.0,29.0,8.0
2.8666666666666614,15.0,29.0,8.0
2.883333333333328,15.0,29.0,8.0
2.8999999999999946,15.0,29.0,8.0
2.916666666666661,15.0,29.0,8.0
2.933333333333328,15.0,29.0,8.0
2.9499999999999944,14.0,28.0,9.0
2.966666666666661,14.0,28.0,9.0
2.9833333333333276,14.0,28.0,9.0
2.9999999999999942,14.0,28.0,9.0
3.016666666666661,14.0,28.0,9.0
3.0333333333333274,14.0,28.0,9.0
3.049999999999994,14.0,28.0,9.0
3.0666666666666607,14.0,28.0,9.0
3.0833333333333273,14.0,28.0,9.0
3.099999999999994,14.0,28.0,9.0
3.1166666666666605,14.0,28.0,9.0
3.133333333333327,14.0,28.0,9.0
3.1499999999999937,14.0,28.0,9.0
3.1666666666666603,14.0,28.0,9.0
3.183333333333327,14.0,28.0,9.0
3.1999999999999935,14.0,28.0,9.0
3.21666666666666,14.0,28.0,9.0
3.2333333333333267,14.0,28.0,9.0
3.2499999999999933,14.0,28.0,9.0
3.26666666666666,14.0,28.0,9.0
3.2833333333333266,14.0,28.0,9.0
3.299999999999993,14.0,28.0,9.0
3.3166666666666598,14.0,28.0,9.0
3.3333333333333264,14.0,28.0,9.0
3.349999999999993,14.0,28.0,9.0
3.3666666666666596,14.0,28.0,9.0
3.383333333333326,14.0,28.0,9.0
3.399999999999993,14.0,28.0,9.0
3.4166666666666594,14.0,28.0,9.0
3.433333333333326,14.0,28.0,9.0
3.4499999999999926,14.0,28.0,9.0
3.4666666666666592,14.0,28.0,9.0
3.483333333333326,14.0,28.0,9.0
3.4999999999999925,14.0,28.0,9.0
3.516666666666659,14.0,28.0,9.0
3.5333333333333257,14.0,28.0,9.0
3.5499999999999923,14.0,28.0,9.0
3.566666666666659,14.0,28.0,9.0
3.5833333333333255,14.0,28.0,9.0
3.599999999999992,14.0,28.0,9.0
3.6166666666666587,14.0,28.0,9.0
3.6333333333333253,14.0,28.0,9.0
3.649999999999992,14.0,28.0,9.0
3.6666666666666585,14.0,28.0,9.0
3.683333333333325,14.0,28.0,9.0
3.6999999999999917,14.0,28.0,9.0
3.7166666666666583,14.0,28.0,9.0
3.733333333333325,14.0,28.0,9.0
3.7499999999999916,14.0,28.0,9.0
3.766666666666658,14.0,28.0,9.0
3.7833333333333248,14.0,28.0,9.0
3.7999999999999914,14.0,28.0,9.0
3.816666666666658,14.0,28.0,9.0
3.8333333333333246,14.0,28.0,9.0
3.849999999999991,14.0,28.0,9.0
3.866666666666658,14.0,28.0,9.0
3.8833333333333244,14.0,28.0,9.0
3.899999999999991,14.0,28.0,9.0
3.9166666666666576,14.0,28.0,9.0
3.9333333333333242,14.0,28.0,9.0
3.949999999999991,14.0,28.0,9.0
3.9666666666666575,14.0,28.0,9.0
3.983333333333324,14.0,28.0,9.0
3.9999999999999907,14.0,28.0,9.0
4.016666666666658,14.0,28.0,9.0
4.033333333333324,14.0,28.0,9.0
4.049999999999991,14.0,28.0,9.0
4.0666666666666575,14.0,28.0,9.0
4.083333333333324,14.0,28.0,9.0
4.099999999999991,14.0,28.0,9.0
4.116666666666657,14.0,28.0,9.0
4.133333333333324,14.0,28.0,9.0
4.149999999999991,14.0,28.0,9.0
4.166666666666657,14.0,28.0,9.0
4.183333333333324,14.0,28.0,9.0
4.19999999999999,14.0,28.0,9.0
4.216666666666657,14.0,28.0,9.0
4.233333333333324,14.0,28.0,9.0
4.24999999999999,14.0,28.0,9.0
4.266666666666657,14.0,28.0,9.0
4.2833333333333234,14.0,28.0,9.0
4.29999999999999,14.0,28.0,9.0
4.316666666666657,14.0,28.0,9.0
4.333333333333323,14.0,28.0,9.0
4.34999999999999,14.0,28.0,9.0
4.3666666666666565,14.0,28.0,9.0
4.383333333333323,14.0,28.0,9.0
4.39999999999999,14.0,28.0,9.0
4.416666666666656,14.0,28.0,9.0
4.433333333333323,14.0,28.0,9.0
4.4499999999999895,14.0,28.0,9.0
4.466666666666656,14.0,28.0,9.0
4.483333333333323,14.0,28.0,9.0
4.499999999999989,14.0,28.0,9.0
4.516666666666656,14.0,28.0,9.0
4.533333333333323,14.0,28.0,9.0
4.549999999999989,14.0,28.0,9.0
4.566666666666656,14.0,28.0,9.0
4.583333333333322,14.0,28.0,9.0
4.599999999999989,14.0,28.0,9.0
4.616666666666656,14.0,28.0,9.0
4.633333333333322,14.0,28.0,9.0
4.649999999999989,14.0,28.0,9.0
4.666666666666655,14.0,28.0,9.0
4.683333333333322,14.0,28.0,9.0
4.699999999999989,14.0,28.0,9.0
4.716666666666655,14.0,28.0,9.0
4.733333333333322,14.0,28.0,9.0
4.7499999999999885,14.0,28.0,9.0
4.766666666666655,14.0,28.0,9.0
4.783333333333322,14.0,28.0,9.0
4.799999999999988,14.0,28.0,9.0
4.816666666666655,14.0,28.0,9.0
4.8333333333333215,14.0,28.0,9.0
4.849999999999988,14.0,28.0,9.0
4.866666666666655,14.0,28.0,9.0
4.883333333333321,14.0,28.0,9.0
4.899999999999988,14.0,28.0,9.0
4.9166666666666545,14.0,28.0,9.0
4.933333333333321,14.0,28.0,9.0
4.949999999999988,14.0,28.0,9.0
4.966666666666654,14.0,28.0,9.0
4.983333333333321,14.0,28.0,9.0
4.999999999999988,14.0,28.0,9.0
5.016666666666654,14.0,28.0,9.0
5.033333333333321,14.0,28.0,9.0
5.049999999999987,14.0,28.0,9.0
5.066666666666654,14.0,28.0,9.0
5.083333333333321,14.0,28.0,9.0
5.099999999999987,14.0,28.0,9.0
5.116666666666654,14.0,28.0,9.0
5.13333333333332,14.0,28.0,9.0
5.149999999999987,14.0,28.0,9.0
5.166666666666654,14.0,28.0,9.0
5.18333333333332,14.0,28.0,9.0
5.199999999999987,14.0,28.0,9.0
5.2166666666666535,14.0,28.0,9.0
5.23333333333332,14.0,28.0,9.0
5.249999999999987,14.0,28.0,9.0
5.266666666666653,14.0,28.0,9.0
5.28333333333332,14.0,28.0,9.0
5.2999999999999865,14.0,28.0,9.0
5.316666666666653,14.0,28.0,9.0
5.33333333333332,14.0,28.0,9.0
5.349999999999986,14.0,28.0,9.0
5.366666666666653,14.0,28.0,9.0
5.3833333333333195,14.0,28.0,9.0
5.399999999999986,14.0,28.0,9.0
5.416666666666653,14.0,28.0,9.0
5.433333333333319,14.0,28.0,9.0
5.449999999999986,14.0,28.0,9.0
5.466666666666653,14.0,28.0,9.0
5.483333333333319,14.0,28.0,9.0
5.499999999999986,14.0,28.0,9.0
5.516666666666652,14.0,28.0,9.0
5.533333333333319,14.0,28.0,9.0
5.549999999999986,14.0,28.0,9.0
5.566666666666652,14.0,28.0,9.0
5.583333333333319,14.0,28.0,9.0
5.599999999999985,14.0,28.0,9.0
5.616666666666652,14.0,28.0,9.0
5.633333333333319,14.0,28.0,9.0
5.649999999999985,14.0,28.0,9.0
5.666666666666652,14.0,28.0,9.0
5.6833333333333185,14.0,28.0,9.0
5.699999999999985,14.0,28.0,9.0
5.716666666666652,14.0,28.0,9.0
5.733333333333318,14.0,28.0,9.0
5.749999999999985,14.0,28.0,9.0
5.7666666666666515,14.0,28.0,9.0
5.783333333333318,14.0,28.0,9.0
5.799999999999985,14.0,28.0,9.0
5.816666666666651,14.0,28.0,9.0
5.833333333333318,13.0,27.0,10.0
5.8499999999999845,13.0,27.0,10.0
5.866666666666651,13.0,27.0,10.0
5.883333333333318,13.0,27.0,10.0
5.899999999999984,13.0,27.0,10.0
5.916666666666651,13.0,27.0,10.0
5.933333333333318,13.0,27.0,10.0
5.949999999999984,13.0,27.0,10.0
5.966666666666651,13.0,27.0,10.0
5.983333333333317,13.0,27.0,10.0
5.999999999999984,13.0,27.0,10.0
6.016666666666651,13.0,27.0,10.0
6.033333333333317,13.0,27.0,10.0
6.049999999999984,13.0,27.0,10.0
6.06666666666665,13.0,27.0,10.0
6.083333333333317,13.0,27.0,10.0
6.099999999999984,12.0,26.0,11.0
6.11666666666665,12.0,26.0,11.0
6.133333333333317,12.0,26.0,11.0
6.1499999999999835,12.0,26.0,11.0
6.16666666666665,12.0,26.0,11.0
6.183333333333317,12.0,26.0,11.0
6.199999999999983,12.0,26.0,11.0
6.21666666666665,12.0,26.0,11.0
6.2333333333333165,12.0,26.0,11.0
6.249999999999983,12.0,26.0,11.0
6.26666666666665,12.0,26.0,11.0
6.283333333333316,12.0,26.0,11.0
6.299999999999983,12.0,26.0,11.0
6.3166666666666496,12.0,26.0,11.0
6.333333333333316,12.0,26.0,11.0
6.349999999999983,12.0,26.0,11.0
6.366666666666649,12.0,26.0,11.0
6.383333333333316,12.0,26.0,11.0
6.399999999999983,12.0,26.0,11.0
6.416666666666649,12.0,26.0,11.0
6.433333333333316,12.0,26.0,11.0
