Tempo,Cl,Na,NaCl
0.0,106.0,94.0,0.0
0.016666666666666666,106.0,94.0,0.0
0.03333333333333333,106.0,94.0,0.0
0.05,106.0,94.0,0.0
0.06666666666666667,105.0,93.0,1.0
0.08333333333333333,104.0,92.0,2.0
0.09999999999999999,104.0,92.0,2.0
0.11666666666666665,103.0,91.0,3.0
0.13333333333333333,103.0,91.0,3.0
0.15,102.0,90.0,4.0
0.16666666666666666,102.0,90.0,4.0
0.18333333333333332,101.0,89.0,5.0
0.19999999999999998,101.0,89.0,5.0
0.21666666666666665,101.0,89.0,5.0
0.2333333333333333,100.0,88.0,6.0
0.24999999999999997,99.0,87.0,7.0
0.26666666666666666,98.0,86.0,8.0
0.2833333333333333,98.0,86.0,8.0
0.3,98.0,86.0,8.0
0.31666666666666665,97.0,85.0,9.0
0.3333333333333333,96.0,84.0,10.0
0.35,95.0,83.0,11.0
0.36666666666666664,94.0,82.0,12.0
0.3833333333333333,93.0,81.0,13.0
0.39999999999999997,93.0,81.0,13.0
0.41666666666666663,91.0,79.0,15.0
0.4333333333333333,90.0,78.0,16.0
0.44999999999999996,88.0,76.0,18.0
0.4666666666666666,88.0,76.0,18.0
0.4833333333333333,88.0,76.0,18.0
0.49999999999999994,88.0,76.0,18.0
0.5166666666666666,88.0,76.0,18.0
0.5333333333333333,88.0,76.0,18.0
0.55,86.0,74.0,20.0
0.5666666666666668,86.0,74.0,20.0
0.5833333333333335,85.0,73.0,21.0
0.6000000000000002,85.0,73.0,21.0
0.6166666666666669,85.0,73.0,21.0
0.6333333333333336,84.0,72.0,22.0
0.6500000000000004,84.0,72.0,22.0
0.6666666666666671,84.0,72.0,22.0
0.6833333333333338,83.0,71.0,23.0
0.7000000000000005,83.0,71.0,23.0
0.7166666666666672,83.0,71.0,23.0
0.733333333333334,83.0,71.0,23.0
0.7500000000000007,83.0,71.0,23.0
0.7666666666666674,83.0,71.0,23.0
0.7833333333333341,83.0,71.0,23.0
0.8000000000000008,83.0,71.0,23.0
0.8166666666666675,82.0,70.0,24.0
0.8333333333333343,82.0,70.0,24.0
0.850000000000001,81.0,69.0,25.0
0.8666666666666677,81.0,69.0,25.0
0.8833333333333344,79.0,67.0,27.0
0.9000000000000011,79.0,67.0,27.0
0.9166666666666679,79.0,67.0,27.0
0.9333333333333346,79.0,67.0,27.0
0.9500000000000013,79.0,67.0,27.0
0.966666666666668,79.0,67.0,27.0
0.9833333333333347,79.0,67.0,27.0
1.0000000000000013,79.0,67.0,27.0
1.016666666666668,79.0,67.0,27.0
1.0333333333333345,79.0,67.0,27.0
1.0500000000000012,78.0,66.0,28.0
1.0666666666666678,78.0,66.0,28.0
1.0833333333333344,78.0,66.0,28.0
1.100000000000001,78.0,66.0,28.0
1.1166666666666676,78.0,66.0,28.0
1.1333333333333342,77.0,65.0,29.0
1.1500000000000008,77.0,65.0,29.0
1.1666666666666674,77.0,65.0,29.0
1.183333333333334,77.0,65.0,29.0
1.2000000000000006,77.0,65.0,29.0
1.2166666666666672,77.0,65.0,29.0
1.2333333333333338,77.0,65.0,29.0
1.2500000000000004,76.0,64.0,30.0
1.266666666666667,76.0,64.0,30.0
1.2833333333333337,76.0,64.0,30.0
1.3000000000000003,76.0,64.0,30.0
1.3166666666666669,75.0,63.0,31.0
1.3333333333333335,74.0,62.0,32.0
1.35,73.0,61.0,33.0
1.3666666666666667,72.0,60.0,34.0
1.3833333333333333,72.0,60.0,34.0
1.4,72.0,60.0,34.0
1.4166666666666665,72.0,60.0,34.0
1.4333333333333331,71.0,59.0,35.0
1.4499999999999997,70.0,58.0,36.0
1.4666666666666663,70.0,58.0,36.0
1.483333333333333,70.0,58.0,36.0
1.4999999999999996,69.0,57.0,37.0
1.5166666666666662,68.0,56.0,38.0
1.5333333333333328,68.0,56.0,38.0
1.5499999999999994,67.0,55.0,39.0
1.566666666666666,67.0,55.0,39.0
1.5833333333333326,67.0,55.0,39.0
1.5999999999999992,67.0,55.0,39.0
1.6166666666666658,67.0,55.0,39.0
1.6333333333333324,67.0,55.0,39.0
1.649999999999999,67.0,55.0,39.0
1.6666666666666656,67.0,55.0,39.0
1.6833333333333322,67.0,55.0,39.0
1.6999999999999988,67.0,55.0,39.0
1.7166666666666655,67.0,55.0,39.0
1.733333333333332,67.0,55.0,39.0
1.7499999999999987,67.0,55.0,39.0
1.7666666666666653,67.0,55.0,39.0
1.7833333333333319,67.0,55.0,39.0
1.7999999999999985,67.0,55.0,39.0
1.816666666666665,66.0,54.0,40.0
1.8333333333333317,66.0,54.0,40.0
1.8499999999999983,66.0,54.0,40.0
1.866666666666665,65.0,53.0,41.0
1.8833333333333315,65.0,53.0,41.0
1.8999999999999981,65.0,53.0,41.0
