Tempo [s],Temperatura [K],Cl,Na,NaCl
0.0,0.5749468309499882,151.0,149.0,0.0
0.016666666666666666,0.5749468309499882,151.0,149.0,0.0
0.03333333333333333,0.5710606470371924,151.0,149.0,0.0
0.05,0.5696293872932425,151.0,149.0,0.0
0.06666666666666667,0.5644544518776965,150.0,148.0,1.0
0.08333333333333333,0.5619309461899097,148.0,147.0,3.0
0.09999999999999999,0.5605646832860399,146.0,145.0,5.0
0.11666666666666665,0.5575061054026313,146.0,145.0,5.0
0.13333333333333333,0.5630305855095368,144.0,143.0,7.0
0.15,0.5529373060367029,144.0,143.0,7.0
0.16666666666666666,0.5456223712779323,143.0,142.0,8.0
0.18333333333333332,0.5442856715539138,142.0,141.0,9.0
0.19999999999999998,0.541973244998378,142.0,141.0,9.0
0.21666666666666665,0.5399056397771522,142.0,141.0,9.0
0.2333333333333333,0.5386487509539214,141.0,140.0,10.0
