Tempo,Cl,Na,NaCl
0.000000000000000000,523.0,477.0,0.0
0.016666666666666666,523.0,477.0,0.0
0.03333333333333333,522.0,476.0,1.0
0.05,521.0,475.0,2.0
0.06666666666666667,520.0,474.0,3.0
0.08333333333333333,517.0,471.0,6.0
0.09999999999999999,514.0,468.0,9.0
0.11666666666666665,513.0,467.0,10.0
0.13333333333333333,513.0,467.0,10.0
0.15,513.0,467.0,10.0
0.16666666666666666,512.0,466.0,11.0
0.18333333333333332,511.0,465.0,12.0
0.19999999999999998,509.0,463.0,14.0
0.21666666666666665,508.0,462.0,15.0
0.2333333333333333,505.0,459.0,18.0
0.24999999999999997,505.0,459.0,18.0
0.26666666666666666,505.0,459.0,18.0
0.2833333333333333,504.0,458.0,19.0
0.3,504.0,458.0,19.0
0.31666666666666665,502.0,456.0,21.0
0.3333333333333333,502.0,456.0,21.0
0.35,498.0,452.0,25.0
0.36666666666666664,497.0,451.0,26.0
0.3833333333333333,497.0,451.0,26.0
0.39999999999999997,497.0,451.0,26.0
0.41666666666666663,496.0,450.0,27.0
0.4333333333333333,494.0,448.0,29.0
0.44999999999999996,493.0,447.0,30.0
0.4666666666666666,492.0,446.0,31.0
0.4833333333333333,491.0,445.0,32.0
0.49999999999999994,489.0,443.0,34.0
0.5166666666666666,489.0,443.0,34.0
0.5333333333333333,488.0,442.0,35.0
0.55,488.0,442.0,35.0
0.5666666666666668,488.0,442.0,35.0
0.5833333333333335,488.0,442.0,35.0
0.6000000000000002,487.0,441.0,36.0
0.6166666666666669,487.0,441.0,36.0
0.6333333333333336,487.0,441.0,36.0
0.6500000000000004,485.0,439.0,38.0
0.6666666666666671,485.0,439.0,38.0
0.6833333333333338,485.0,439.0,38.0
0.7000000000000005,484.0,438.0,39.0
0.7166666666666672,484.0,438.0,39.0
0.733333333333334,482.0,436.0,41.0
0.7500000000000007,481.0,435.0,42.0
0.7666666666666674,481.0,435.0,42.0
0.7833333333333341,479.0,433.0,44.0
0.8000000000000008,478.0,432.0,45.0
0.8166666666666675,478.0,432.0,45.0
0.8333333333333343,477.0,431.0,46.0
0.850000000000001,477.0,431.0,46.0
0.8666666666666677,477.0,431.0,46.0
0.8833333333333344,477.0,431.0,46.0
0.9000000000000011,475.0,429.0,48.0
0.9166666666666679,473.0,427.0,50.0
0.9333333333333346,471.0,425.0,52.0
0.9500000000000013,468.0,422.0,55.0
0.966666666666668,468.0,422.0,55.0
0.9833333333333347,467.0,421.0,56.0
1.0000000000000013,465.0,419.0,58.0
1.016666666666668,464.0,418.0,59.0
1.0333333333333345,463.0,417.0,60.0
1.0500000000000012,463.0,417.0,60.0
1.0666666666666678,463.0,417.0,60.0
1.0833333333333344,463.0,417.0,60.0
1.100000000000001,463.0,417.0,60.0
1.1166666666666676,463.0,417.0,60.0
1.1333333333333342,461.0,415.0,62.0
1.1500000000000008,460.0,414.0,63.0
1.1666666666666674,459.0,413.0,64.0
1.183333333333334,457.0,411.0,66.0
1.2000000000000006,457.0,411.0,66.0
1.2166666666666672,456.0,410.0,67.0
1.2333333333333338,454.0,408.0,69.0
1.2500000000000004,454.0,408.0,69.0
1.266666666666667,451.0,405.0,72.0
1.2833333333333337,451.0,405.0,72.0
1.3000000000000003,451.0,405.0,72.0
1.3166666666666669,450.0,404.0,73.0
1.3333333333333335,449.0,403.0,74.0
1.35,449.0,403.0,74.0
1.3666666666666667,447.0,401.0,76.0
1.3833333333333333,444.0,398.0,79.0
1.4,444.0,398.0,79.0
1.4166666666666665,444.0,398.0,79.0
1.4333333333333331,443.0,397.0,80.0
1.4499999999999997,443.0,397.0,80.0
1.4666666666666663,442.0,396.0,81.0
1.483333333333333,440.0,394.0,83.0
1.4999999999999996,440.0,394.0,83.0
1.5166666666666662,440.0,394.0,83.0
1.5333333333333328,439.0,393.0,84.0
1.5499999999999994,439.0,393.0,84.0
1.566666666666666,439.0,393.0,84.0
1.5833333333333326,438.0,392.0,85.0
1.5999999999999992,437.0,391.0,86.0
1.6166666666666658,437.0,391.0,86.0
1.6333333333333324,436.0,390.0,87.0
1.649999999999999,436.0,390.0,87.0
1.6666666666666656,436.0,390.0,87.0
1.6833333333333322,436.0,390.0,87.0
1.6999999999999988,436.0,390.0,87.0
1.7166666666666655,435.0,389.0,88.0
1.733333333333332,435.0,389.0,88.0
1.7499999999999987,435.0,389.0,88.0
1.7666666666666653,434.0,388.0,89.0
1.7833333333333319,433.0,387.0,90.0
1.7999999999999985,432.0,386.0,91.0
1.816666666666665,432.0,386.0,91.0
1.8333333333333317,431.0,385.0,92.0
1.8499999999999983,431.0,385.0,92.0
1.866666666666665,430.0,384.0,93.0
1.8833333333333315,430.0,384.0,93.0
1.8999999999999981,429.0,383.0,94.0
1.9166666666666647,429.0,383.0,94.0
1.9333333333333313,429.0,383.0,94.0
1.949999999999998,428.0,382.0,95.0
1.9666666666666646,428.0,382.0,95.0
1.9833333333333312,427.0,381.0,96.0
1.9999999999999978,425.0,379.0,98.0
2.0166666666666644,425.0,379.0,98.0
2.033333333333331,424.0,378.0,99.0
2.0499999999999976,422.0,376.0,101.0
2.066666666666664,420.0,374.0,103.0
2.083333333333331,420.0,374.0,103.0
2.0999999999999974,419.0,373.0,104.0
2.116666666666664,417.0,371.0,106.0
2.1333333333333306,417.0,371.0,106.0
2.1499999999999972,416.0,370.0,107.0
2.166666666666664,413.0,367.0,110.0
2.1833333333333305,412.0,366.0,111.0
2.199999999999997,411.0,365.0,112.0
2.2166666666666637,408.0,362.0,115.0
2.2333333333333303,407.0,361.0,116.0
2.249999999999997,407.0,361.0,116.0
2.2666666666666635,406.0,360.0,117.0
2.28333333333333,404.0,358.0,119.0
2.2999999999999967,404.0,358.0,119.0
2.3166666666666633,402.0,356.0,121.0
2.33333333333333,401.0,355.0,122.0
