Tempo [s],Temperatura [K],Na,Cl,NaCl
0.0,0.6341124941563786,36.0,44.0,0.0
0.016666666666666666,0.6341124941563786,36.0,44.0,0.0
0.03333333333333333,0.627272521947381,36.0,44.0,0.0
0.05,0.6240745398756343,36.0,44.0,0.0
0.06666666666666667,0.6079310908161145,36.0,44.0,0.0
0.08333333333333333,0.5984074927289609,36.0,44.0,0.0
0.09999999999999999,0.5984074927289609,36.0,44.0,0.0
0.11666666666666665,0.5984074927289609,36.0,44.0,0.0
0.13333333333333333,0.5954241548706432,36.0,44.0,0.0
0.15,0.5998335448471531,35.0,43.0,1.0
0.16666666666666666,0.5894249572791433,35.0,43.0,1.0
0.18333333333333332,0.5837903276657787,35.0,43.0,1.0
0.19999999999999998,0.5777560185762409,35.0,43.0,1.0
0.21666666666666665,0.5740862290997417,35.0,43.0,1.0
0.2333333333333333,0.5757844617769342,35.0,43.0,1.0
0.24999999999999997,0.5541127494054489,35.0,43.0,1.0
0.26666666666666666,0.5557962650345241,35.0,43.0,1.0
0.2833333333333333,0.5576119264045479,35.0,43.0,1.0
0.3,0.5643623007003685,34.0,42.0,2.0
0.31666666666666665,0.5585356015688637,34.0,42.0,2.0
0.3333333333333333,0.5582208738891828,34.0,42.0,2.0
0.35,0.5665904673419854,33.0,41.0,3.0
0.36666666666666664,0.5628089623714295,33.0,41.0,3.0
0.3833333333333333,0.5632678869824418,33.0,41.0,3.0
0.39999999999999997,0.5632678869824418,33.0,41.0,3.0
0.41666666666666663,0.5636627856976888,33.0,41.0,3.0
0.4333333333333333,0.5562077071555332,33.0,41.0,3.0
0.44999999999999996,0.5551857441104108,33.0,41.0,3.0
0.4666666666666666,0.5516289425530072,33.0,41.0,3.0
0.4833333333333333,0.5478725532687665,33.0,41.0,3.0
0.49999999999999994,0.5458896580190942,33.0,41.0,3.0
0.5166666666666666,0.5474197908068824,33.0,41.0,3.0
0.5333333333333333,0.5388583971359111,32.0,40.0,4.0
0.55,0.5295588106367416,32.0,40.0,4.0
0.5666666666666668,0.5184751529687324,32.0,40.0,4.0
0.5833333333333335,0.5081955145982182,32.0,40.0,4.0
0.6000000000000002,0.5110927427632409,31.0,39.0,5.0
0.6166666666666669,0.5110927427632409,31.0,39.0,5.0
0.6333333333333336,0.5110927427632409,31.0,39.0,5.0
0.6500000000000004,0.5075966415651184,31.0,39.0,5.0
0.6666666666666671,0.5075966415651184,31.0,39.0,5.0
0.6833333333333338,0.5035802504167048,31.0,39.0,5.0
0.7000000000000005,0.5035802504167048,31.0,39.0,5.0
0.7166666666666672,0.5035802504167048,31.0,39.0,5.0
0.733333333333334,0.5035802504167048,31.0,39.0,5.0
0.7500000000000007,0.5047725994488756,31.0,39.0,5.0
0.7666666666666674,0.4878420970035298,31.0,39.0,5.0
0.7833333333333341,0.4725394639600843,31.0,39.0,5.0
0.8000000000000008,0.4792997950223696,30.0,38.0,6.0
0.8166666666666675,0.480163872275453,30.0,38.0,6.0
0.8333333333333343,0.4763490145832327,30.0,38.0,6.0
0.850000000000001,0.4767723826851002,30.0,38.0,6.0
0.8666666666666677,0.4767723826851002,30.0,38.0,6.0
0.8833333333333344,0.47794082164890817,30.0,38.0,6.0
0.9000000000000011,0.47794082164890817,30.0,38.0,6.0
0.9166666666666679,0.47781825978754616,30.0,38.0,6.0
0.9333333333333346,0.47781825978754616,30.0,38.0,6.0
0.9500000000000013,0.47781825978754616,30.0,38.0,6.0
0.966666666666668,0.47791016973143235,30.0,38.0,6.0
0.9833333333333347,0.47791016973143235,30.0,38.0,6.0
1.0000000000000013,0.4781458567007445,30.0,38.0,6.0
1.016666666666668,0.4771032174652407,30.0,38.0,6.0
1.0333333333333345,0.4781440830486088,30.0,38.0,6.0
1.0500000000000012,0.4773204089676122,30.0,38.0,6.0
1.0666666666666678,0.46432794286123036,30.0,38.0,6.0
1.0833333333333344,0.46432794286123036,30.0,38.0,6.0
1.100000000000001,0.4622754222562413,30.0,38.0,6.0
1.1166666666666676,0.4621806463509862,30.0,38.0,6.0
1.1333333333333342,0.4562024513924331,30.0,38.0,6.0
1.1500000000000008,0.4582420695671312,30.0,38.0,6.0
1.1666666666666674,0.4541761151361241,29.0,37.0,7.0
1.183333333333334,0.4568431446679008,29.0,37.0,7.0
1.2000000000000006,0.4568431446679008,29.0,37.0,7.0
1.2166666666666672,0.45649400777565474,29.0,37.0,7.0
1.2333333333333338,0.4583335903571636,29.0,37.0,7.0
1.2500000000000004,0.4598404745543271,29.0,37.0,7.0
1.266666666666667,0.45978199137599324,28.0,36.0,8.0
1.2833333333333337,0.46625779407142964,27.0,35.0,9.0
1.3000000000000003,0.46825967021563886,26.0,34.0,10.0
1.3166666666666669,0.4685036510239923,26.0,34.0,10.0
1.3333333333333335,0.47033437118351007,26.0,34.0,10.0
1.35,0.47033437118351007,26.0,34.0,10.0
1.3666666666666667,0.4716924032971413,26.0,34.0,10.0
1.3833333333333333,0.47852852508405636,25.0,33.0,11.0
1.4,0.4527215929670527,25.0,33.0,11.0
1.4166666666666665,0.4527215929670527,25.0,33.0,11.0
1.4333333333333331,0.4480085752972268,25.0,33.0,11.0
1.4499999999999997,0.4480085752972268,25.0,33.0,11.0
1.4666666666666663,0.4480085752972268,25.0,33.0,11.0
1.483333333333333,0.4508003040227142,25.0,33.0,11.0
1.4999999999999996,0.45327809240984146,25.0,33.0,11.0
1.5166666666666662,0.46080009002410544,24.0,32.0,12.0
1.5333333333333328,0.4540257759201488,24.0,32.0,12.0
1.5499999999999994,0.4540257759201488,24.0,32.0,12.0
1.566666666666666,0.4540257759201488,24.0,32.0,12.0
1.5833333333333326,0.4541905799307569,24.0,32.0,12.0
1.5999999999999992,0.45539676079159513,24.0,32.0,12.0
1.6166666666666658,0.4523417989739502,24.0,32.0,12.0
1.6333333333333324,0.4515469110769842,24.0,32.0,12.0
1.649999999999999,0.4544163385232355,24.0,32.0,12.0
1.6666666666666656,0.4544757534711727,24.0,32.0,12.0
1.6833333333333322,0.4492937363201361,24.0,32.0,12.0
1.6999999999999988,0.44082051354862267,24.0,32.0,12.0
1.7166666666666655,0.44082051354862267,24.0,32.0,12.0
1.733333333333332,0.4448842711099975,24.0,32.0,12.0
1.7499999999999987,0.4450372258085518,24.0,32.0,12.0
1.7666666666666653,0.4516795724624109,23.0,31.0,13.0
1.7833333333333319,0.4462155629153744,23.0,31.0,13.0
1.7999999999999985,0.4500791909645299,23.0,31.0,13.0
1.816666666666665,0.4500791909645299,23.0,31.0,13.0
1.8333333333333317,0.4500791909645299,23.0,31.0,13.0
1.8499999999999983,0.4500791909645299,23.0,31.0,13.0
1.866666666666665,0.4500189215959933,23.0,31.0,13.0
1.8833333333333315,0.4429203005753118,23.0,31.0,13.0
1.8999999999999981,0.4429203005753118,23.0,31.0,13.0
1.9166666666666647,0.4429203005753118,23.0,31.0,13.0
1.9333333333333313,0.42821619806942857,23.0,31.0,13.0
1.949999999999998,0.42821619806942857,23.0,31.0,13.0
1.9666666666666646,0.42821619806942857,23.0,31.0,13.0
1.9833333333333312,0.42821619806942857,23.0,31.0,13.0
1.9999999999999978,0.42821619806942857,23.0,31.0,13.0
2.0166666666666644,0.4292625767855031,22.0,30.0,14.0
