Tempo [s],Temperatura [K],Cl,Na,NaCl
0.0,1.3673334683677563,346.0,354.0,0.0
0.016666666666666666,1.3673334683677563,346.0,354.0,0.0
0.03333333333333333,1.361204743866008,346.0,354.0,0.0
0.05,1.3437139094974833,344.0,352.0,2.0
0.06666666666666667,1.3375899530870095,341.0,349.0,5.0
0.08333333333333333,1.3233915374153193,339.0,347.0,7.0
0.09999999999999999,1.317718690534121,337.0,345.0,9.0
0.11666666666666665,1.299772232890383,336.0,344.0,10.0
0.13333333333333333,1.274080782933389,336.0,344.0,10.0
0.15,1.2688587503743525,334.0,342.0,12.0
0.16666666666666666,1.2686113160601413,330.0,338.0,16.0
0.18333333333333332,1.2534959006675048,329.0,337.0,17.0
0.19999999999999998,1.2398710129401087,329.0,337.0,17.0
0.21666666666666665,1.2236330386458731,328.0,336.0,18.0
0.2333333333333333,1.2225397239353262,323.0,331.0,23.0
0.24999999999999997,1.2164734915745983,323.0,331.0,23.0
0.26666666666666666,1.2163998515999095,320.0,328.0,26.0
0.2833333333333333,1.2232523404120537,312.0,319.0,35.0
0.3,1.2127614290497395,312.0,319.0,35.0
0.31666666666666665,1.2016342917713079,311.0,318.0,36.0
0.3333333333333333,1.191214512406597,310.0,317.0,37.0
0.35,1.1881425266086887,309.0,316.0,38.0
0.36666666666666664,1.1895608852833952,306.0,313.0,41.0
0.3833333333333333,1.1894314031710156,299.0,306.0,48.0
0.39999999999999997,1.1830990412656521,298.0,305.0,49.0
0.41666666666666663,1.1790808643745003,295.0,302.0,52.0
0.4333333333333333,1.1736764501336743,294.0,301.0,53.0
0.44999999999999996,1.173934144797774,292.0,299.0,55.0
0.4666666666666666,1.169840911761732,289.0,295.0,59.0
0.4833333333333333,1.167389483406854,284.0,290.0,64.0
0.49999999999999994,1.1664648234569657,282.0,288.0,66.0
0.5166666666666666,1.1662931909497394,278.0,285.0,70.0
0.5333333333333333,1.164254474555231,274.0,281.0,74.0
0.55,1.168348407721851,271.0,278.0,77.0
0.5666666666666668,1.1599299547019883,269.0,276.0,79.0
0.5833333333333335,1.1591529206785551,267.0,274.0,81.0
0.6000000000000002,1.15813556555404,264.0,271.0,84.0
0.6166666666666669,1.1523696924245697,263.0,270.0,85.0
0.6333333333333336,1.1528292317579671,261.0,267.0,88.0
0.6500000000000004,1.1568604700440939,259.0,265.0,90.0
0.6666666666666671,1.1545094329675376,255.0,261.0,94.0
0.6833333333333338,1.14635551776425,253.0,259.0,96.0
0.7000000000000005,1.1499875273191669,252.0,258.0,97.0
0.7166666666666672,1.151592919842362,250.0,255.0,100.0
0.733333333333334,1.1507675783569573,248.0,253.0,102.0
0.7500000000000007,1.1513914431232855,245.0,250.0,105.0
0.7666666666666674,1.1465124995498726,245.0,250.0,105.0
0.7833333333333341,1.1515082378824602,243.0,248.0,107.0
0.8000000000000008,1.1541589516380482,240.0,245.0,110.0
0.8166666666666675,1.155404773964604,238.0,243.0,112.0
0.8333333333333343,1.1498316704178595,237.0,242.0,113.0
0.850000000000001,1.1554995067277591,235.0,240.0,115.0
0.8666666666666677,1.1566320916934774,233.0,238.0,117.0
0.8833333333333344,1.1583114063370936,229.0,235.0,121.0
0.9000000000000011,1.1606862078208557,226.0,232.0,124.0
0.9166666666666679,1.1559851836561708,226.0,232.0,124.0
0.9333333333333346,1.165722964405845,224.0,230.0,126.0
0.9500000000000013,1.171830820532217,220.0,226.0,130.0
0.966666666666668,1.1766167913275156,219.0,225.0,131.0
0.9833333333333347,1.1763306711801285,218.0,224.0,132.0
1.0000000000000013,1.1715935338727428,218.0,224.0,132.0
1.016666666666668,1.169160853525071,216.0,222.0,134.0
1.0333333333333345,1.1692103942294854,215.0,221.0,135.0
1.0500000000000012,1.172895126188947,214.0,220.0,136.0
1.0666666666666678,1.1652957859747555,212.0,218.0,138.0
1.0833333333333344,1.1621305828991977,211.0,217.0,139.0
1.100000000000001,1.1534910615385117,210.0,216.0,140.0
1.1166666666666676,1.1493716729216108,210.0,216.0,140.0
1.1333333333333342,1.14967007154684,209.0,215.0,141.0
1.1500000000000008,1.1441509203720688,209.0,215.0,141.0
1.1666666666666674,1.143363852488016,208.0,214.0,142.0
1.183333333333334,1.1400925927519836,208.0,214.0,142.0
1.2000000000000006,1.1333688293523236,207.0,213.0,143.0
1.2166666666666672,1.1336719343684816,207.0,213.0,143.0
1.2333333333333338,1.133703956340768,206.0,212.0,144.0
1.2500000000000004,1.1380667141432441,203.0,209.0,147.0
